w,h,angle
103.09495263701471,70.85884747996181,1.3740399868673192
103.4702702375584,72.74169315635484,1.3563497313433202
103.86852846542484,74.57028121199221,1.3383063713608576
104.28927310165531,76.34728934271966,1.3199713361136984
104.73204992729082,78.07539524438285,1.301414730989153
105.19640472337265,79.7572766128276,1.2827150159608058
105.68188327094191,81.39561114389953,1.263958414003106
106.1880313510398,82.99307653344444,1.2452380406379666
106.71439474470749,84.5523504773081,1.226652760491078
107.26051923298613,86.07611067133614,1.2083057929668468
107.82595059691688,87.5670348113743,1.1903031054244506
108.41023461754097,89.02780059326837,1.1727516469481163
109.01291707589947,90.46108571286402,1.1557574873746423
109.6335437530336,91.86956786600697,1.1394239333680354
110.27166042998452,93.255924748543,1.1238496951954822
110.92681288779345,94.62283405631779,1.1091271742772493
111.5985469075015,95.97297348517712,1.095340933016717
112.28640827014982,97.30902073096664,1.082566395916596
112.98994275677961,98.63365348953211,1.0708688159809667
113.70869614843207,99.9495494567193,1.060302524492597
114.4422142261483,101.25938632837386,1.0509104669542264
115.19004277096953,102.56584180034156,1.0427240145369718
115.9517275639369,103.87159356846814,1.035763029632819
116.72681438609155,105.17931932859929,1.0300361564735616
117.51484901847469,106.49169677658077,1.0255413032548666
118.31537724212751,107.8114036082583,1.022266280480067
119.12794483809108,109.14111751947756,1.0201895607892455
119.95209758740666,110.48351620608433,1.0192811277491391
120.78738127111538,111.84127736392429,1.0195033843323444
121.63334167025843,113.21707868884324,1.020785383359211
122.48953391287613,114.61352940805142,1.0220829276829004
123.35586739721047,116.0306436487875,1.0221325120939961
124.23270653782808,117.46510245285022,1.0208966944723943
125.12044564198098,118.91336789214714,1.0184087114986813
126.0194790169214,120.37190203858586,1.014688384912068
126.93020096990143,121.837166964074,1.0097431236080385
127.85300580817324,123.30562474051924,1.0035686365784264
128.78828783898894,124.77373743982906,0.9961494003617855
129.73644136960064,126.23796713391121,0.9874589162350956
130.69786070726053,127.69477589467324,0.9774597866359355
131.67294015922073,129.14062579402275,0.9661036370784958
132.66207403273336,130.57197890386738,0.9533309091573533
133.6656566350505,131.98529729611474,0.9390705523586452
134.6840822734244,133.3770430426724,0.9232396477987238
135.7177452551071,134.74367821544806,0.9057430064062599
136.76703988735082,136.08166488634924,0.8864727984502636
137.83236047740758,137.3874651272836,0.8653082919260641
138.91410133252964,138.6575410101588,0.8421158055805636
140.01265675996905,139.88835460688236,0.8167490196962102
141.12842106697795,141.0763679893619,0.7890498351930758
142.2617885608085,142.2180432295051,0.758850029028611
143.4131535487128,143.30984239921952,0.72597401877616
144.58291033794308,144.3482275704128,0.6902431148013737
145.77145323575138,145.32966081499256,0.6514816907266613
146.97917654938985,146.25060420486642,0.609525717652677
148.2064745861106,147.10751981194193,0.5642340475552535
149.45374165316588,147.89686970812676,0.5155026459014386
150.7213720578077,148.61511596532853,0.46328160595563744
152.00976010728823,149.25872065545477,0.40759418325551583
153.31930010885964,149.82414585041317,0.3485562721986546
154.65038636977405,150.30785362211134,0.28638376798086257
156.003265845625,150.7062478879602,0.22113283042331958
157.3758888973051,151.01482618053439,0.1525983819852355
158.76438981516327,151.22836929349003,0.08070409473545065
160.16485330601526,151.34163845161348,0.005506773420233416
161.57336407667682,151.34939487969103,-0.07278071988500204
162.9860068339638,151.2463998025091,-0.15377086937867102
164.39886628469185,151.02741444485395,-0.23689713475344015
165.80802713567687,150.687200031512,-0.32093702331810064
167.20962559336633,150.2212671400958,-0.40025014767464095
168.6003304922448,149.63287642934162,-0.47210191407344176
169.97712532871904,148.92986709169787,-0.5370635868721462
171.33699768323586,148.12013774503347,-0.5958451673072018
172.67693513624258,147.21158700721733,-0.6491774917517187
173.9939252681862,146.21211349611843,-0.6977654756553285
175.28495565951377,145.12961582960557,-0.7422642824983625
176.54701389067247,143.97199262554773,-0.7832703906849767
177.77708754210943,142.7471425018138,-0.8213216318618922
178.9721641942716,141.46296407627275,-0.8569022561897622
