w,h,angle
199.51799400882246,524.6721936899169,-0.03317728913373067
204.36910284074395,524.5111879705021,-0.03031826505287904
209.24605874812596,524.3632818075635,-0.02130054894662578
214.13723717086577,524.2590812626258,-0.006107449845258509
219.03101354886073,524.2291923972148,0.015358611922230418
223.915763322008,524.304221272855,0.04326008446083412
228.77986193020496,524.5147739510719,0.07780132239518171
233.61168481334894,524.8914564933907,0.11919579732138522
238.39960741133712,525.4648749613364,0.1676204865462182
243.1320051640668,526.2656354164337,0.2231555136606459
247.79725351143537,527.3243439202085,0.2857101749600522
252.38372789334016,528.6716065341857,0.3542794253078126
256.880573910884,530.3349258087394,0.4190629058861578
261.2877798876205,532.2981114806122,0.47318096751658706
265.61334567834183,534.5126892967157,0.5168313678014319
269.86545875615974,536.9294289602382,0.5504673419879899
274.05230659418544,539.4991001743667,0.5745042131073516
278.1820766655308,542.1724726422896,0.5892327033861262
282.2629564433075,544.9003160671945,0.5947631973834934
286.3031334006268,547.633400152269,0.5909886073502392
290.3107950106004,550.3224946007009,0.5775580798843667
294.2941287463399,552.9183691156782,0.5564233839099878
298.2634331153172,555.3871899027416,0.5395478734228746
302.23896410551504,557.767798314799,0.5367246043475317
306.22524666232874,560.1395807651799,0.5658622434639822
310.16701701718154,562.6431814046314,0.6146103602134922
314.0248255888278,565.3660364255677,0.6301980046599955
317.85822068006934,568.1621839542441,0.6017095778767579
321.74880987276345,570.8336550147246,0.5277684233090054
325.7782007487672,573.1824806310725,0.4066340860186432
330.0272678843734,575.0122788710238,0.3074333930058931
334.4439156916511,576.4145639219547,0.36790008591769774
338.713883036346,578.0604198611088,0.44768820819867294
342.84786768127475,580.0455882695343,0.42684259770282196
346.99331869078617,581.9309602303267,0.3274430357189222
351.217345777552,583.3657372240912,0.21800061953901717
355.52063017624147,584.3190050708367,0.12700649434140082
359.91198766312465,584.8797543212095,0.10964156956697743
364.4805988732684,585.3826809147154,0.1410551354795911
369.14732183200636,586.045346917254,0.1809571243637718
373.6676211151861,586.8723741801214,0.11190389640045044
378.1223223543283,587.3729638944818,-0.015253155569177152
382.7106164341735,587.3029725029639,-0.035461427371758183
387.4569221943717,587.1345911394717,-0.021292723778891732
392.3286088484335,587.0308439817704,-0.01094364337181805
397.2694922991318,586.9767705566559,-0.004180939017082064
402.22320964764003,586.9560592458341,-0.0006860856765913882
407.13388256208424,586.9526901029565,0.0052868343637909555
411.99170114037275,586.9783728244323,0.023905516549444877
416.8702588204511,587.0950194868049,0.046431953478595606
421.82860964594056,587.3254109945036,-0.014311083803196128
426.6965453356463,587.2557408025176,-0.21801315599241608
431.19004497803047,586.2602771884659,-0.3604030592249014
435.45274057013097,584.65382457386,-0.24292870796653837
439.9827236151073,583.5311904259652,-0.1359152369145203
444.77094262278155,582.8763613218114,-0.11525441777012922
449.643534883085,582.3122736216046,-0.17006275077126007
454.4384185283845,581.4888893805656,-0.24205056073259626
459.1147909841376,580.3343343693836,-0.29504269568620894
463.7029982135597,578.9399191952407,-0.32778825992651167
468.23429039005174,577.3990283433752,-0.340257982394451
472.73965941130496,575.8040053070342,-0.3396944037242669
477.24162402598887,574.2130421670466,-0.33487968189223855
481.7525255939864,572.6433105759563,-0.32635744786127063
486.2841027588429,571.1095529107031,-0.3141811964968827
490.84809416410434,569.6265115482279,-0.29855324215644674
495.4559058865498,568.2084493758958,-0.2829228139816158
500.1092324642404,566.8556273360721,-0.2710581445482916
504.7987507025659,565.5524211760579,-0.26308100653905486
509.51454229658515,564.282348622366,-0.25892772017813737
514.246688941357,563.028927401508,-0.2585581372316275
518.9852723319407,561.7756752399962,-0.2619567512738805
523.7203741633948,560.5061098643428,-0.2691325367949832
528.4420761307784,559.2037490010594,-0.2801175610203558
533.1404599291506,557.8521103766584,-0.2949642800355902
537.8056072535699,556.4347117176518,-0.3137413088315642
542.4275997990956,554.9350707505516,-0.336527352211631
546.9965192607863,553.3367052018699,-0.36340291727841484
551.5024473337011,551.623132798119,-0.3944394276422548
